"data","id_sistema","Sistema","volume","variacao_volume","vazao_natural_diaria","vazao_natural_mensal","vazao_natural_media","vazao_descarregada","pluviometria","pluviometria_mensal","pluviometria_mensal_media","vazao_media_eta","vazao_captada"
"2024-01-31T00:00:00",0,"Cantareira",73.4906,0.04312,38.683,40.981,67.9,3.1,0,264.75,262.746829,28.941569,30.51643
"2024-01-31T00:00:00",1,"Alto Tietê",63.70622,0.03815,7.949,18.606,22.49,10.5,0.84,191.2,234.004947,12.766984,12.66733
"2024-01-31T00:00:00",2,"Guarapiranga",75.63539,-0.14967,10.253,26.329,19.13,0,0,208.6,229.793965,12.645231,13.49899
"2024-01-31T00:00:00",3,"Alto Cotia",80.79118,-0.20034,4.847,6.612,2.58,5.15,0,123.6,218.48977,1.235851,1.35257
"2024-01-31T00:00:00",4,"Rio Grande",102.57123,-0.69248,8.876,23.422,9.48,12.897,0,221,245.868484,4.938321,4.97477
"2024-01-31T00:00:00",5,"Rio Claro",39.83752,-1.85916,11.141,12.091,8.08,4.58,0,468.4,293.294736,3.485232,3.53839
"2024-01-31T00:00:00",17,"São Lourenço",87.637,-0.23956,21.04,33.228,35.6,20.71,0,182,273.163207,2.848055,3.19344
"2024-01-31T00:00:00",19,"Cantareira Velho",87.50121,0,0.348,0.355,NA,0.06,0,257.6,251.8,0.280151,0.29651
"2024-01-31T00:00:00",99,"SIM",73.00942,-0.04606,102.789,161.269,168.808,NA,NA,NA,NA,66.861243,NA
"2024-01-31T00:00:00",NA,"Baixo Cotia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2024-01-31T00:00:00",NA,"Ribeirão da Estiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08201,0.08201
"2024-02-29T00:00:00",0,"Cantareira",76.06072,-0.03031,27.687,41.827,70.8,0.85,0,166.15,202.46378,30.092205,31.32986
"2024-02-29T00:00:00",1,"Alto Tietê",69.64818,0.28877,29.102,23.499,23.19,9.04,1.04,180.72,176.403894,12.775123,12.74525
"2024-02-29T00:00:00",2,"Guarapiranga",85.32861,0.30599,19.432,26.394,19.99,0,33,192.6,193.359482,12.920591,13.14016
"2024-02-29T00:00:00",3,"Alto Cotia",90.7366,0.21411,6.823,7.808,2.67,6.14,5.2,219.2,181.851724,1.257133,1.32316
"2024-02-29T00:00:00",4,"Rio Grande",101.53791,-0.34372,7.042,11.864,9.9,6.66,0,109,206.582424,4.98514,4.9375
"2024-02-29T00:00:00",5,"Rio Claro",39.32814,-0.29048,9.985,11.589,8.08,2.42,0,320.6,242.269649,3.603763,3.60013
"2024-02-29T00:00:00",17,"São Lourenço",99.23534,0.25422,20.075,27.385,35.7,14.49,0,195.6,230.450943,2.885968,2.87878
"2024-02-29T00:00:00",19,"Cantareira Velho",90.19007,0,0.348,0.362,NA,0.06,5.2,134,348.8,0.291709,0.29384
"2024-02-29T00:00:00",99,"SIM",77.42345,0.08639,120.146,150.366,175.449,NA,NA,NA,NA,68.519923,NA
"2024-02-29T00:00:00",NA,"Baixo Cotia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"2024-02-29T00:00:00",NA,"Ribeirão da Estiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0789,0.0789
"2024-03-31T00:00:00",0,"Cantareira",77.97728,0.1716,51.596,39.444,64.2,2.85,0,184.25,174.975238,30.407644,29.4567
"2024-03-31T00:00:00",1,"Alto Tietê",76.86825,0.06417,16.931,25.148,21,9.25,0.08,159.8,154.369684,12.785095,13.06703
