data;id_sistema;Sistema;volume;variacao_volume;vazao_natural_diaria;vazao_natural_mensal;vazao_natural_media;vazao_descarregada;pluviometria;pluviometria_mensal;pluviometria_mensal_media;vazao_media_eta;vazao_captada
2026-01-15T00:00:00Z;64;Cantareira;19,35545;0,04004;31,789;16,778;67,300;10,350;6,600;48,850;261,979530;23,561550;NA
2026-01-15T00:00:00Z;65;Alto Tietê;21,45033;0,08281;20,205;19,870;22,410;4,560;10,840;90,520;232,088290;12,750340;NA
2026-01-15T00:00:00Z;66;Guarapiranga;50,30926;0,66572;22,785;15,513;19,180;0,000;46,600;91,800;229,027970;14,717270;NA
2026-01-15T00:00:00Z;67;Alto Cotia;41,06796;-0,27382;2,936;2,514;2,580;3,400;1,600;56,800;216,649550;1,165780;NA
2026-01-15T00:00:00Z;68;Rio Grande;61,18458;0,00000;5,360;7,095;9,580;0,000;14,000;80,800;243,378240;5,306450;NA
2026-01-15T00:00:00Z;69;Rio Claro;42,00000;-0,07609;4,860;7,484;8,090;0,660;6,400;51,600;295,454240;3,289220;NA
2026-01-15T00:00:00Z;72;São Lourenço;60,48570;-0,31124;13,047;25,766;35,500;11,120;0,000;110,600;269,390000;5,183910;NA
2026-01-15T00:00:00Z;74;Cantareira Velho;27,90188;1,78036;0,416;0,233;NA;0,060;18,000;80,400;231,866670;0,164830;NA
2026-01-15T00:00:00Z;75;SIM;27,31858;0,08561;100,982;95,020;168,150;NA;NA;NA;NA;65,974510;NA
2026-01-14T00:00:00Z;64;Cantareira;19,31541;0,02673;31,034;15,706;67,300;10,540;7,800;42,250;261,979530;23,554620;NA
2026-01-14T00:00:00Z;65;Alto Tietê;21,36753;0,05550;18,299;19,797;22,410;7,090;10,800;79,680;232,088290;12,708890;NA
2026-01-14T00:00:00Z;66;Guarapiranga;49,64354;0,00000;9,544;14,960;19,180;0,000;8,800;45,200;229,027970;14,667360;NA
2026-01-14T00:00:00Z;67;Alto Cotia;41,34178;-0,27481;2,094;2,484;2,580;2,390;0,600;55,200;216,649550;1,161250;NA
2026-01-14T00:00:00Z;68;Rio Grande;61,18458;0,00000;5,348;7,219;9,580;0,000;10,400;66,800;243,378240;5,296840;NA
2026-01-14T00:00:00Z;69;Rio Claro;42,07608;-0,15248;3,844;7,621;8,090;0,660;18,600;45,200;295,454240;3,223680;NA
2026-01-14T00:00:00Z;72;São Lourenço;60,79695;-0,20777;14,104;26,674;35,500;11,120;0,400;110,600;269,390000;5,187490;NA
2026-01-14T00:00:00Z;74;Cantareira Velho;26,12152;1,27324;0,361;0,221;NA;0,060;27,600;62,400;231,866670;0,165940;NA
2026-01-14T00:00:00Z;75;SIM;27,23297;0,01660;84,267;94,460;168,150;NA;NA;NA;NA;65,800120;NA
2026-01-13T00:00:00Z;64;Cantareira;19,28869;-0,07787;21,028;14,527;67,300;11,350;4,800;34,450;261,979530;23,429020;NA
2026-01-13T00:00:00Z;65;Alto Tietê;21,31202;-0,10223;8,259;19,977;22,410;10,220;2,120;68,880;232,088290;12,831090;NA
2026-01-13T00:00:00Z;66;Guarapiranga;49,64354;-0,26594;4,533;15,364;19,180;0,000;1,800;36,400;229,027970;14,670540;NA
2026-01-13T00:00:00Z;67;Alto Cotia;41,61659;-0,27580;1,661;2,514;2,580;1,970;0,000;54,600;216,649550;1,156820;NA
2026-01-13T00:00:00Z;68;Rio Grande;61,18458;-0,25532;2,015;7,361;9,580;0,000;0,000;56,400;243,378240;5,285690;NA
2026-01-13T00:00:00Z;69;Rio Claro;42,22856;-0,15289;4,075;7,893;8,090;0,590;8,200;26,600;295,454240;3,237610;NA
2026-01-13T00:00:00Z;72;São Lourenço;61,00472;-0,10397;15,494;27,665;35,500;11,130;4,200;110,200;269,390000;5,216680;NA
2026-01-13T00:00:00Z;74;Cantareira Velho;24,84828;0,00000;0,229;0,211;NA;0,060;7,200;34,800;231,866670;0,167780;NA
2026-01-13T00:00:00Z;75;SIM;27,21638;-0,11508;57,065;95,301;168,150;NA;NA;NA;NA;65,827440;NA
2026-01-12T00:00:00Z;64;Cantareira;19,36656;-0,16544;9,986;13,985;67,300;11,350;0,000;29,650;261,979530;23,073080;NA
2026-01-12T00:00:00Z;65;Alto Tietê;21,41425;-0,15246;6,155;21,053;22,410;10,230;0,000;66,760;232,088290;12,934250;NA
2026-01-12T00:00:00Z;66;Guarapiranga;49,90948;-0,13314;8,075;16,293;19,180;0,000;0,000;34,600;229,027970;14,725500;NA
2026-01-12T00:00:00Z;67;Alto Cotia;41,89239;-0,13827;1,951;2,585;2,580;2,200;0,000;54,600;216,649550;1,148960;NA
2026-01-12T00:00:00Z;68;Rio Grande;61,43990;-0,25592;1,934;7,800;9,580;0,000;0,000;56,400;243,378240;5,271180;NA
2026-01-12T00:00:00Z;69;Rio Claro;42,38144;0,07649;4,586;8,212;8,090;0,230;0,800;18,400;295,454240;3,296630;NA
2026-01-12T00:00:00Z;72;São Lourenço;61,10869;0,00000;16,664;28,685;35,500;11,160;0,200;106,000;269,390000;5,204570;NA
2026-01-12T00:00:00Z;74;Cantareira Velho;24,84828;-0,15816;0,209;0,209;NA;0,060;0,000;27,600;231,866670;0,167580;NA
2026-01-12T00:00:00Z;75;SIM;27,33145;-0,15459;49,351;98,614;168,150;NA;NA;NA;NA;65,654160;NA
2026-01-11T00:00:00Z;64;Cantareira;19,53200;-0,19291;7,464;14,349;67,300;11,350;0,000;29,650;261,979530;22,968560;NA
2026-01-11T00:00:00Z;65;Alto Tietê;21,56671;-0,03217;13,315;22,369;22,410;10,160;1,400;66,760;232,088290;12,798750;NA
2026-01-11T00:00:00Z;66;Guarapiranga;50,04263;0,66457;23,695;17,076;19,180;0,000;23,200;34,600;229,027970;14,769730;NA
2026-01-11T00:00:00Z;67;Alto Cotia;42,03066;0,13827;2,764;2,641;2,580;2,500;32,600;54,600;216,649550;1,140750;NA
2026-01-11T00:00:00Z;68;Rio Grande;61,69582;-0,12818;3,639;8,338;9,580;0,000;4,000;56,400;243,378240;5,270460;NA
2026-01-11T00:00:00Z;69;Rio Claro;42,30495;0,00000;5,159;8,541;8,090;0,230;2,200;17,600;295,454240;3,361750;NA
2026-01-11T00:00:00Z;72;São Lourenço;61,10869;1,75993;34,454;29,752;35,500;11,140;22,600;105,800;269,390000;5,151740;NA
2026-01-11T00:00:00Z;74;Cantareira Velho;25,00645;-0,15845;0,206;0,209;NA;0,060;0,000;27,600;231,866670;0,167330;NA
2026-01-11T00:00:00Z;75;SIM;27,48605;0,02597;90,490;103,065;168,150;NA;NA;NA;NA;65,461740;NA
2026-01-10T00:00:00Z;64;Cantareira;19,72491;-0,09291;17,840;15,037;67,300;11,350;0,200;29,650;261,979530;22,682440;NA
2026-01-10T00:00:00Z;65;Alto Tietê;21,59888;0,05617;17,589;23,198;22,410;5,400;0,160;65,360;232,088290;12,644120;NA
2026-01-10T00:00:00Z;66;Guarapiranga;49,37806;0,39734;18,747;16,449;19,180;0,000;0,200;11,400;229,027970;14,778700;NA
2026-01-10T00:00:00Z;67;Alto Cotia;41,89239;0,00000;3,565;2,630;2,580;3,030;0,000;22,000;216,649550;1,135320;NA
2026-01-10T00:00:00Z;68;Rio Grande;61,82400;0,00000;5,236;8,801;9,580;0,000;1,400;52,400;243,378240;5,253470;NA
2026-01-10T00:00:00Z;69;Rio Claro;42,30495;0,07639;6,525;8,911;8,090;0,230;6,800;15,400;295,454240;3,475520;NA
2026-01-10T00:00:00Z;72;São Lourenço;59,34876;2,05025;37,386;29,270;35,500;11,200;10,400;83,200;269,390000;5,133500;NA
2026-01-10T00:00:00Z;74;Cantareira Velho;25,16489;0,00000;0,228;0,210;NA;0,060;0,000;27,600;231,866670;0,167970;NA
2026-01-10T00:00:00Z;75;SIM;27,46007;0,09842;106,888;104,297;168,150;NA;NA;NA;NA;65,103070;NA
2026-01-09T00:00:00Z;64;Cantareira;19,81782;-0,10170;15,578;14,726;67,300;11,350;1,100;29,450;261,979530;22,309490;NA
2026-01-09T00:00:00Z;65;Alto Tietê;21,54271;0,23511;30,469;23,719;22,410;7,680;19,280;65,200;232,088290;12,522190;NA
2026-01-09T00:00:00Z;66;Guarapiranga;48,98072;0,79152;25,360;16,060;19,180;0,000;5,000;11,200;229,027970;14,579560;NA
2026-01-09T00:00:00Z;67;Alto Cotia;41,89239;-0,27679;3,901;2,526;2,580;4,420;3,800;22,000;216,649550;1,125760;NA
2026-01-09T00:00:00Z;68;Rio Grande;61,82400;0,12818;6,986;9,207;9,580;0,000;15,400;51,000;243,378240;5,257080;NA
2026-01-09T00:00:00Z;69;Rio Claro;42,22856;0,30455;5,327;9,271;8,090;0,230;2,200;8,600;295,454240;3,636960;NA
2026-01-09T00:00:00Z;72;São Lourenço;57,29850;2,02897;37,259;28,376;35,500;11,220;20,800;72,800;269,390000;5,144090;NA
2026-01-09T00:00:00Z;74;Cantareira Velho;25,16489;-0,38151;0,185;0,208;NA;0,060;10,200;27,600;231,866670;0,168120;NA
2026-01-09T00:00:00Z;75;SIM;27,36165;0,18591;124,880;103,886;168,150;NA;NA;NA;NA;64,575110;NA
2026-01-08T00:00:00Z;64;Cantareira;19,91952;-0,10807;15,261;14,619;67,300;11,350;3,200;28,350;261,979530;22,194240;NA
2026-01-08T00:00:00Z;65;Alto Tietê;21,30760;-0,03392;11,909;22,806;22,410;10,340;7,200;45,920;232,088290;12,531850;NA
2026-01-08T00:00:00Z;66;Guarapiranga;48,18919;1,70029;44,524;15,043;19,180;0,000;0,000;6,200;229,027970;14,774630;NA
2026-01-08T00:00:00Z;67;Alto Cotia;42,16918;-0,13877;2,390;2,355;2,580;2,640;1,000;18,200;216,649550;1,113490;NA
2026-01-08T00:00:00Z;68;Rio Grande;61,69582;0,38366;10,215;9,473;9,580;0,000;2,400;35,600;243,378240;5,229340;NA
2026-01-08T00:00:00Z;69;Rio Claro;41,92401;0,07588;5,180;9,762;8,090;0,230;0,600;6,400;295,454240;3,624110;NA
2026-01-08T00:00:00Z;72;São Lourenço;55,26953;2,80605;45,116;27,220;35,500;11,100;19,200;52,000;269,390000;5,138190;NA
2026-01-08T00:00:00Z;74;Cantareira Velho;25,54640;-0,53431;0,167;0,210;NA;0,060;3,600;17,400;231,866670;0,168100;NA
2026-01-08T00:00:00Z;75;SIM;27,17574;0,23497;134,595;101,279;168,150;NA;NA;NA;NA;64,605840;NA
2026-01-07T00:00:00Z;64;Cantareira;20,02759;-0,14717;7,040;14,528;67,300;9,520;0,000;25,150;261,979530;21,569990;NA
2026-01-07T00:00:00Z;65;Alto Tietê;21,34152;-0,03635;12,410;24,591;22,410;9,550;0,040;38,720;232,088290;12,930500;NA
