Nome;ComponenteId;VazaoRetirada;VazaoProduzida;Dia;SistemaId;Data;VazaoRetiradaMinima;VazaoRetiradaMedia;VazaoRetiradaMaxima;VazaoProduzidaMinima;VazaoProduzidaMedia;VazaoProduzidaMaxima;AnoMes
ETA Guaraú;22;30,51643;30,50029;30;0;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Taiaçupeba;24;12,66733;12,36267;30;1;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA ABV;23;13,49899;12,47732;30;2;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Alto Cotia;27;1,35257;1,14965;30;3;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Baixo Cotia;28;0,00000;0,00000;30;3;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Rio Grande;25;4,97477;4,81565;30;4;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Ribeirão da Estiva;29;0,08201;0,07963;30;4;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Casa Grande;26;3,53839;3,55056;30;5;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA São Lourenço;34;3,19344;2,96696;30;17;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Cabuçu;54;0,23675;0,23654;30;19;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
ETA Tanque Grande;55;0,05976;0,05917;30;19;2024-01-30T00:00:00;NA;NA;NA;NA;NA;NA;0001-01-01T00:00:00
