"","Nome","ComponenteId","VazaoRetirada","VazaoProduzida","Dia","SistemaId","Data","VazaoRetiradaMinima","VazaoRetiradaMedia","VazaoRetiradaMaxima","VazaoProduzidaMinima","VazaoProduzidaMedia","VazaoProduzidaMaxima","AnoMes"
"1","ETA Guaraú",22,30.5957,30.44,27,0,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"2","ETA Taiaçupeba",24,15.0284,14.99,27,1,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"3","ETA ABV",23,12.671,12.56,27,2,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"4","ETA Alto Cotia",27,1.1583,1.14,27,3,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"5","ETA Baixo Cotia",28,0,0,27,3,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"6","ETA Rio Grande",25,5.0656,4.92,27,4,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"7","ETA Ribeirão da Estiva",29,0.0099,0.01,27,4,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"8","ETA Casa Grande",26,3.5582,3.41,27,5,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"9","ETA São Lourenço",34,5.1522,5.08,27,17,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"10","ETA Cabuçu",54,0.2086,0.21,27,19,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
"11","ETA Tanque Grande",55,0.0602,0.06,27,19,"2025-02-27T00:00:00",NA,NA,NA,NA,NA,NA,"0001-01-01T00:00:00"
