Nome;ComponenteId;VazaoRetirada;VazaoProduzida;Dia;SistemaId;Data;VazaoRetiradaMinima;VazaoRetiradaMedia;VazaoRetiradaMaxima;VazaoProduzidaMinima;VazaoProduzidaMedia;VazaoProduzidaMaxima;AnoMes
ETA Guaraú;22;NA;NA;NA;NA;0001-01-01T00:00:00;24,38605;28,915137;31,43558;24,39460;28,901851;31,52780;2024-01-01T00:00:00
ETA Taiaçupeba;24;NA;NA;NA;NA;0001-01-01T00:00:00;11,72076;12,795964;14,48958;11,05403;12,384366;13,57485;2024-01-01T00:00:00
ETA ABV;23;NA;NA;NA;NA;0001-01-01T00:00:00;11,24994;12,626115;13,49899;10,95196;11,847974;12,54848;2024-01-01T00:00:00
ETA Alto Cotia;27;NA;NA;NA;NA;0001-01-01T00:00:00;1,09708;1,234060;1,35257;1,03705;1,161742;1,20304;2024-01-01T00:00:00
ETA Baixo Cotia;28;NA;NA;NA;NA;0001-01-01T00:00:00;0,00000;0,000000;0,00000;0,00000;0,000000;0,00000;2024-01-01T00:00:00
ETA Rio Grande;25;NA;NA;NA;NA;0001-01-01T00:00:00;4,55028;4,854747;5,05428;4,34702;4,705291;4,89936;2024-01-01T00:00:00
ETA Ribeirão da Estiva;29;NA;NA;NA;NA;0001-01-01T00:00:00;0,07685;0,079776;0,08306;0,06901;0,077098;0,08067;2024-01-01T00:00:00
ETA Casa Grande;26;NA;NA;NA;NA;0001-01-01T00:00:00;2,69161;3,482886;3,86150;2,44059;3,388731;3,72785;2024-01-01T00:00:00
ETA São Lourenço;34;NA;NA;NA;NA;0001-01-01T00:00:00;2,39150;2,849901;3,32663;2,30514;2,789853;3,31173;2024-01-01T00:00:00
ETA Cabuçu;54;NA;NA;NA;NA;0001-01-01T00:00:00;0,08073;0,222820;0,25395;0,08903;0,222394;0,25972;2024-01-01T00:00:00
ETA Tanque Grande;55;NA;NA;NA;NA;0001-01-01T00:00:00;0,04954;0,057057;0,06500;0,04905;0,056487;0,06435;2024-01-01T00:00:00
