"","Nome","ComponenteId","VazaoRetirada","VazaoProduzida","Dia","SistemaId","Data","VazaoRetiradaMinima","VazaoRetiradaMedia","VazaoRetiradaMaxima","VazaoProduzidaMinima","VazaoProduzidaMedia","VazaoProduzidaMaxima","AnoMes"
"1","ETA Guaraú",22,NA,NA,NA,NA,"0001-01-01T00:00:00",28.7739,30.754144,32.5757,28.75,30.651481,32.14,"2025-02-01T00:00:00"
"2","ETA Taiaçupeba",24,NA,NA,NA,NA,"0001-01-01T00:00:00",11.3,13.953837,15.5751,11.3,13.917777,15.54,"2025-02-01T00:00:00"
"3","ETA ABV",23,NA,NA,NA,NA,"0001-01-01T00:00:00",12.671,14.052981,14.789,11.75,12.945925,13.49,"2025-02-01T00:00:00"
"4","ETA Alto Cotia",27,NA,NA,NA,NA,"0001-01-01T00:00:00",0.9642,1.110744,1.1882,0.91,1.077407,1.16,"2025-02-01T00:00:00"
"5","ETA Baixo Cotia",28,NA,NA,NA,NA,"0001-01-01T00:00:00",0,0,0,0,0,0,"2025-02-01T00:00:00"
"6","ETA Rio Grande",25,NA,NA,NA,NA,"0001-01-01T00:00:00",4.8096,5.071633,5.2206,4.51,4.914444,5.09,"2025-02-01T00:00:00"
"7","ETA Ribeirão da Estiva",29,NA,NA,NA,NA,"0001-01-01T00:00:00",0,0.021474,0.047,0,0.019703,0.036,"2025-02-01T00:00:00"
"8","ETA Casa Grande",26,NA,NA,NA,NA,"0001-01-01T00:00:00",3.2433,3.586385,3.7119,3.17,3.48,3.63,"2025-02-01T00:00:00"
"9","ETA São Lourenço",34,NA,NA,NA,NA,"0001-01-01T00:00:00",4.5061,5.210381,5.8612,4.44,5.191481,5.78,"2025-02-01T00:00:00"
"10","ETA Cabuçu",54,NA,NA,NA,NA,"0001-01-01T00:00:00",0.1595,0.196159,0.2181,0.16,0.196296,0.23,"2025-02-01T00:00:00"
"11","ETA Tanque Grande",55,NA,NA,NA,NA,"0001-01-01T00:00:00",0.0596,0.062888,0.0703,0.06,0.061481,0.07,"2025-02-01T00:00:00"
