Abreviatura,Valor,id_sistema,data,Sistema
Q PS-SC,6.587,0,2025-07-31,Cantareira
Q EEAB Bir,7.639,1,2025-07-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-07-31,Alto Tietê
Q Transf Guaió,0,1,2025-07-31,Alto Tietê
Q Rev.Capiv.,0.18,2,2025-07-31,Guarapiranga
Q Rev.Taquac.,2.29,2,2025-07-31,Guarapiranga
Q RP-RG,0,4,2025-07-31,Rio Grande
Q Guarat.,0.5,5,2025-07-31,Rio Claro
Q PS-SC,7.59,0,2025-08-31,Cantareira
Q EEAB Bir,8.4,1,2025-08-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-08-31,Alto Tietê
Q Transf Guaió,0,1,2025-08-31,Alto Tietê
Q Rev.Capiv.,0.5,2,2025-08-31,Guarapiranga
Q Rev.Taquac.,3.46,2,2025-08-31,Guarapiranga
Q RP-RG,0,4,2025-08-31,Rio Grande
Q Guarat.,0.5,5,2025-08-31,Rio Claro
Q PS-SC,7.518,0,2025-09-29,Cantareira
Q EEAB Bir,8.746,1,2025-09-29,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-09-29,Alto Tietê
Q Transf Guaió,0,1,2025-09-29,Alto Tietê
Q Rev.Capiv.,0.32,2,2025-09-29,Guarapiranga
Q Rev.Taquac.,4,2,2025-09-29,Guarapiranga
Q RP-RG,0,4,2025-09-29,Rio Grande
Q Guarat.,0.5,5,2025-09-29,Rio Claro
Q PS-SC,6.365,0,2025-07-30,Cantareira
Q EEAB Bir,7.636,1,2025-07-30,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-07-30,Alto Tietê
Q Transf Guaió,0,1,2025-07-30,Alto Tietê
Q Rev.Capiv.,0.23,2,2025-07-30,Guarapiranga
Q Rev.Taquac.,1.66,2,2025-07-30,Guarapiranga
Q RP-RG,0,4,2025-07-30,Rio Grande
Q Guarat.,0.432,5,2025-07-30,Rio Claro
Q PS-SC,4.853,0,2025-03-31,Cantareira
Q EEAB Bir,8.484,1,2025-03-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-03-31,Alto Tietê
Q Transf Guaió,0,1,2025-03-31,Alto Tietê
Q Rev.Capiv.,0,2,2025-03-31,Guarapiranga
Q Rev.Taquac.,0,2,2025-03-31,Guarapiranga
Q RP-RG,0,4,2025-03-31,Rio Grande
Q Guarat.,0.244,5,2025-03-31,Rio Claro
Q PS-SC,3.34,0,2025-04-30,Cantareira
Q EEAB Bir,7.213,1,2025-04-30,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-04-30,Alto Tietê
Q Transf Guaió,0,1,2025-04-30,Alto Tietê
Q Rev.Capiv.,0,2,2025-04-30,Guarapiranga
Q Rev.Taquac.,0,2,2025-04-30,Guarapiranga
Q RP-RG,0,4,2025-04-30,Rio Grande
Q Guarat.,0.112,5,2025-04-30,Rio Claro
Q PS-SC,1.672,0,2025-05-31,Cantareira
Q EEAB Bir,8.03,1,2025-05-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-05-31,Alto Tietê
Q Transf Guaió,0,1,2025-05-31,Alto Tietê
Q Rev.Capiv.,0.33,2,2025-05-31,Guarapiranga
Q Rev.Taquac.,0,2,2025-05-31,Guarapiranga
Q RP-RG,0,4,2025-05-31,Rio Grande
Q Guarat.,0.5,5,2025-05-31,Rio Claro
Q PS-SC,3.35,0,2025-06-30,Cantareira
Q EEAB Bir,5.67,1,2025-06-30,Alto Tietê
Q RG-Taiaçupeba,0,1,2025-06-30,Alto Tietê
Q Transf Guaió,0,1,2025-06-30,Alto Tietê
Q Rev.Capiv.,0.36,2,2025-06-30,Guarapiranga
Q Rev.Taquac.,0,2,2025-06-30,Guarapiranga
Q RP-RG,0,4,2025-06-30,Rio Grande
Q Guarat.,0.5,5,2025-06-30,Rio Claro
Q EEAB Bir,0,1,2010-01-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-01-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-01-31,Guarapiranga
Q Guarat.,0,5,2010-01-31,Rio Claro
Q EEAB Bir,0.1,1,2010-02-28,Alto Tietê
Q Rev.Capiv.,0,2,2010-02-28,Guarapiranga
Q Rev.Taquac.,0,2,2010-02-28,Guarapiranga
Q Guarat.,0,5,2010-02-28,Rio Claro
Q EEAB Bir,0.1,1,2010-03-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-03-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-03-31,Guarapiranga
Q Guarat.,0,5,2010-03-31,Rio Claro
Q EEAB Bir,0.1,1,2010-04-30,Alto Tietê
Q Rev.Capiv.,0,2,2010-04-30,Guarapiranga
Q Rev.Taquac.,0,2,2010-04-30,Guarapiranga
Q Guarat.,0.014,5,2010-04-30,Rio Claro
Q EEAB Bir,0.09,1,2010-05-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-05-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-05-31,Guarapiranga
Q Guarat.,0,5,2010-05-31,Rio Claro
Q EEAB Bir,0,1,2010-06-30,Alto Tietê
Q Rev.Capiv.,0,2,2010-06-30,Guarapiranga
Q Rev.Taquac.,0,2,2010-06-30,Guarapiranga
Q Guarat.,0,5,2010-06-30,Rio Claro
Q EEAB Bir,0,1,2010-07-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-07-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-07-31,Guarapiranga
Q Guarat.,0,5,2010-07-31,Rio Claro
Q EEAB Bir,0,1,2010-08-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-08-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-08-31,Guarapiranga
Q Guarat.,0.506,5,2010-08-31,Rio Claro
Q EEAB Bir,4.05,1,2010-09-30,Alto Tietê
Q Rev.Capiv.,0,2,2010-09-30,Guarapiranga
Q Rev.Taquac.,0,2,2010-09-30,Guarapiranga
Q Guarat.,0.506,5,2010-09-30,Rio Claro
Q EEAB Bir,6,1,2010-10-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-10-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-10-31,Guarapiranga
Q Guarat.,0.506,5,2010-10-31,Rio Claro
Q EEAB Bir,4.58,1,2010-11-30,Alto Tietê
Q Rev.Capiv.,0,2,2010-11-30,Guarapiranga
Q Rev.Taquac.,0,2,2010-11-30,Guarapiranga
Q Guarat.,0.336,5,2010-11-30,Rio Claro
Q EEAB Bir,3.59,1,2010-12-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-12-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-12-31,Guarapiranga
Q Guarat.,0,5,2010-12-31,Rio Claro
Q EEAB Bir,0,1,2011-01-31,Alto Tietê
Q Rev.Capiv.,0,2,2011-01-31,Guarapiranga
